timestamp_s,Aceleracion_Z, Comentario
103,9.244013,
104,8.65025,
105,9.832987,
106,10.86489,
107,10.32619,
108,12.54801,
109,13.08431,
110,12.4714,
111,12.2224,
112,11.42753,
113,11.08755,
114,10.92235,
115,10.71405,
116,10.87207,
117,10.70448,
118,10.48421,
119,10.73799,
120,10.53449,
121,10.80982,
122,10.62307,
123,10.16817,
124,10.02692,
125,9.861717,
126,10.02452,
127,9.5385,
128,7.740454,
129,4.448427,
130,10.78109,
131,8.173804,
132,10.72124,
133,9.160215,
134,9.746795,
135,9.64145,
136,9.5385,
137,9.502586,
138,9.41879,
139,9.332599,
140,9.296685,
141,9.246407,
142,9.349358,
143,9.258378,
144,9.406818,
145,9.457097,
146,8.707711,
147,9.059659,
148,9.334992,
149,10.91038,
150,11.94707,
151,15.47133,
152,0.5267244,
153,8.025364,
154,9.679757,
155,9.157822,
156,10.49618,
157,19.6127,
158,9.742006,
159,11.8082,
160,12.95742,
161,12.17691,
162,14.52802,
163,11.95664,
164,10.80503,
165,10.90559,
166,10.42436,
167,10.66617,
168,10.69969,
169,11.00136,
170,10.77391,
171,10.6518,
172,11.03248,
173,14.78659,
174,7.491457,
175,7.939173,
176,13.11304,
177,8.995016,
178,10.0341,
179,10.06044,
180,8.212111,
181,9.181764,
182,12.22719,
183,9.421184,
184,9.239224,
185,10.46984,
186,9.500193,
187,9.526528,
188,9.552865,
189,9.5385,
190,9.346964,
191,9.188946,
192,9.272743,
193,9.260772,
194,9.339781,
195,9.32781,
196,9.471462,
197,9.200917,
198,9.351752,
199,10.18015,
100,10.72124,
101,10.49139,
102,10.76912,
103,10.3214,
104,18.23185,
105,9.32781,
106,10.15381,
107,10.56082,
108,9.342175,
109,9.284714,
110,10.38365,
111,9.583989,
112,8.073248,
113,8.034941,
114,10.3214,
115,11.87045,
116,10.35253,
117,9.234436,
118,9.449914,
119,9.394848,
120,9.488221,
121,9.212888,
122,9.349358,
123,9.050082,
124,9.246407,
125,9.131485,
126,9.275137,
127,9.232041,
128,9.054871,
129,8.729259,
130,9.720459,
131,12.33493,
132,10.46266,
133,-6.392519,
134,13.1729,
135,8.930372,
136,9.318233,
137,9.780313,
138,10.42436,
139,9.473856,
140,11.18811,
141,11.77708,
142,12.78264,
143,13.06516,
144,3.083732,
145,11.71962,
146,10.83855,
147,10.72363,
148,10.39802,
149,10.64223,
150,10.80743,
151,10.73081,
152,10.56801,
153,10.26634,
154,17.03235,
155,10.55843,
156,8.7125,
157,11.45625,
158,8.913613,
159,9.255983,
160,9.756371,
161,9.40203,
162,9.076419,
163,9.437943,
164,10.67814,
165,11.3964,
166,8.161834,
167,10.13466,
168,9.531317,
169,9.325416,
170,9.325416,
171,9.129091,
172,9.229648,
173,9.176975,
174,9.291897,
175,9.129091,
176,9.016563,
177,8.973468,
178,9.473856,
179,8.528147,
180,11.96862,
181,-9.734824,
182,13.0077,
183,9.224859,
184,9.112331,
185,10.30465,
186,9.449914,
187,11.1498,
188,11.73159,
189,12.61984,
190,12.07157,
191,14.20959,
192,9.105149,
193,11.66216,
194,11.066,
195,10.78827,
196,10.78109,
197,11.00136,
198,10.79785,
199,10.87925,
100,9.299079,
101,9.272743,
102,9.220071,
103,9.102755,
104,9.074024,
105,9.11712,
106,8.925584,
107,8.63828,
108,9.775525,
109,9.457097,
110,7.149086,
111,-2.691083,
112,11.73638,
113,8.319851,
114,9.095572,
115,10.49857,
116,10.9822,
117,11.78426,
118,12.45224,
119,12.59111,
120,12.19128,
121,11.91594,
122,6.531382,
123,11.30782,
124,10.61828,
125,10.92235,
126,10.64462,
127,10.96066,
128,10.82419,
129,10.65899,
130,10.58716,
131,9.902418,
132,8.135497,
133,9.883265,
134,9.725247,
135,10.06044,
136,8.901642,
137,10.11071,
138,9.849746,
139,8.348581,
140,9.31105,
141,11.17374,
142,10.68772,
143,9.054871,
144,9.689334,
145,9.768343,
146,9.572019,
147,9.674969,
148,9.564836,
149,9.41879,
150,9.315839,
151,9.248801,
152,9.131485,
153,9.095572,
154,9.198523,
155,9.215282,
156,9.054871,
157,9.5385,
158,9.459491,
159,9.662998,
160,4.726154,
161,1.106121,
162,9.785102,
163,9.308656,
164,10.0772,
165,10.83137,
166,11.8082,
167,12.47619,
168,11.26951,
169,10.31422,
170,12.12424,
171,11.38204,
172,11.3126,
173,11.06361,
174,10.99896,
175,10.76433,
176,10.8601,
177,10.93911,
178,10.88404,
179,11.08276,
180,10.34056,
181,2.528277,
182,8.884883,
183,9.564836,
184,10.47703,
185,9.694122,
186,9.689334,
187,8.190564,
